Local time,Open,High,Low,Close,Volume
18.08.2025 00:00:00.000 GMT+0200,3336.015,3338.848,3336.015,3336.448,34830
18.08.2025 00:01:00.000 GMT+0200,3336.448,3336.648,3334.275,3334.748,26030
18.08.2025 00:02:00.000 GMT+0200,3334.648,3334.648,3332.885,3334.148,26860
18.08.2025 00:03:00.000 GMT+0200,3334.155,3335.648,3332.298,3334.725,20610
18.08.2025 00:04:00.000 GMT+0200,3334.725,3335.315,3333.398,3334.435,16810
18.08.2025 00:05:00.000 GMT+0200,3334.405,3335.145,3333.865,3333.898,13200
18.08.2025 00:06:00.000 GMT+0200,3333.798,3333.898,3332.928,3333.498,18510
18.08.2025 00:07:00.000 GMT+0200,3333.398,3333.685,3332.805,3333.215,8940
18.08.2025 00:08:00.000 GMT+0200,3333.398,3333.555,3332.998,3333.098,10080
18.08.2025 00:09:00.000 GMT+0200,3332.998,3333.898,3332.855,3333.398,16140
18.08.2025 00:10:00.000 GMT+0200,3333.398,3333.398,3332.798,3333.198,22920
18.08.2025 00:11:00.000 GMT+0200,3333.198,3334.398,3333.198,3334.115,14650
18.08.2025 00:12:00.000 GMT+0200,3334.065,3334.105,3333.295,3333.345,3540
18.08.2025 00:13:00.000 GMT+0200,3333.315,3333.905,3333.175,3333.725,4920
18.08.2025 00:14:00.000 GMT+0200,3333.698,3333.698,3332.875,3333.198,7860
18.08.2025 00:15:00.000 GMT+0200,3333.055,3334.455,3332.855,3334.198,19050
18.08.2025 00:16:00.000 GMT+0200,3334.135,3334.298,3333.665,3333.785,7560
18.08.2025 00:17:00.000 GMT+0200,3333.765,3333.765,3333.148,3333.648,5400
18.08.2025 00:18:00.000 GMT+0200,3333.648,3333.648,3333.335,3333.335,2400
18.08.2025 00:19:00.000 GMT+0200,3333.375,3333.575,3333.345,3333.548,2340
18.08.2025 00:20:00.000 GMT+0200,3333.565,3334.065,3333.565,3333.885,4320
18.08.2025 00:21:00.000 GMT+0200,3333.895,3333.915,3333.555,3333.655,3180
18.08.2025 00:22:00.000 GMT+0200,3333.675,3334.525,3333.675,3334.495,4620
18.08.2025 00:23:00.000 GMT+0200,3334.475,3334.675,3334.448,3334.585,3720
18.08.2025 00:24:00.000 GMT+0200,3334.565,3334.935,3334.548,3334.895,2940
18.08.2025 00:25:00.000 GMT+0200,3334.875,3335.155,3334.765,3334.948,5340
18.08.2025 00:26:00.000 GMT+0200,3334.948,3334.948,3334.248,3334.248,5880
18.08.2025 00:27:00.000 GMT+0200,3334.248,3334.405,3334.248,3334.348,4380
18.08.2025 00:28:00.000 GMT+0200,3334.355,3334.848,3334.348,3334.795,3510
18.08.2025 00:29:00.000 GMT+0200,3334.848,3334.985,3334.648,3334.855,3780
18.08.2025 00:30:00.000 GMT+0200,3334.725,3334.725,3334.305,3334.345,3540
18.08.2025 00:31:00.000 GMT+0200,3334.315,3334.315,3333.795,3333.855,2460
18.08.2025 00:32:00.000 GMT+0200,3333.889,3334.495,3333.889,3334.248,4510
18.08.2025 00:33:00.000 GMT+0200,3334.225,3334.505,3334.225,3334.335,2220
18.08.2025 00:34:00.000 GMT+0200,3334.305,3334.465,3334.195,3334.325,2280
18.08.2025 00:35:00.000 GMT+0200,3334.305,3334.375,3333.985,3334.015,3900
18.08.2025 00:36:00.000 GMT+0200,3334.045,3334.125,3333.948,3333.948,1920
18.08.2025 00:37:00.000 GMT+0200,3333.955,3333.995,3333.835,3333.915,1320
18.08.2025 00:38:00.000 GMT+0200,3333.865,3334.648,3333.865,3334.348,5130
18.08.2025 00:39:00.000 GMT+0200,3334.448,3334.545,3334.215,3334.348,2640
18.08.2025 00:40:00.000 GMT+0200,3334.348,3334.585,3334.185,3334.545,5760
18.08.2025 00:41:00.000 GMT+0200,3334.595,3334.995,3334.555,3334.775,3720
18.08.2025 00:42:00.000 GMT+0200,3334.798,3334.898,3334.798,3334.898,3060
18.08.2025 00:43:00.000 GMT+0200,3334.775,3334.998,3334.695,3334.748,2760
18.08.2025 00:44:00.000 GMT+0200,3334.748,3334.748,3334.395,3334.548,3120
18.08.2025 00:45:00.000 GMT+0200,3334.475,3334.648,3334.365,3334.648,2160
18.08.2025 00:46:00.000 GMT+0200,3334.748,3334.848,3334.648,3334.848,2160
18.08.2025 00:47:00.000 GMT+0200,3334.848,3334.948,3334.725,3334.745,1320
18.08.2025 00:48:00.000 GMT+0200,3334.715,3334.798,3334.598,3334.598,1920
18.08.2025 00:49:00.000 GMT+0200,3334.615,3334.698,3334.198,3334.198,1740
18.08.2025 00:50:00.000 GMT+0200,3334.215,3334.215,3333.755,3334.115,4020
18.08.2025 00:51:00.000 GMT+0200,3334.098,3334.115,3333.805,3333.845,2280
18.08.2025 00:52:00.000 GMT+0200,3333.875,3333.998,3333.845,3333.875,2040
18.08.2025 00:53:00.000 GMT+0200,3333.905,3334.045,3333.865,3333.865,1200
18.08.2025 00:54:00.000 GMT+0200,3333.965,3334.025,3333.915,3334.025,1320
18.08.2025 00:55:00.000 GMT+0200,3333.998,3334.298,3333.998,3334.298,2160
18.08.2025 00:56:00.000 GMT+0200,3334.195,3334.335,3334.065,3334.145,2940
18.08.2025 00:57:00.000 GMT+0200,3334.115,3334.498,3334.115,3334.325,4410
18.08.2025 00:58:00.000 GMT+0200,3334.398,3334.398,3334.198,3334.198,840
18.08.2025 00:59:00.000 GMT+0200,3334.098,3334.198,3333.998,3333.998,2470
18.08.2025 01:00:00.000 GMT+0200,3333.915,3334.198,3333.428,3333.515,7470
18.08.2025 01:01:00.000 GMT+0200,3333.498,3333.905,3333.485,3333.798,12070
18.08.2025 01:02:00.000 GMT+0200,3333.998,3334.098,3333.865,3333.898,12410
18.08.2025 01:03:00.000 GMT+0200,3333.805,3333.805,3333.198,3333.198,14710
18.08.2025 01:04:00.000 GMT+0200,3333.275,3333.298,3332.448,3332.648,22290
18.08.2025 01:05:00.000 GMT+0200,3332.648,3333.048,3332.648,3333.048,13110
18.08.2025 01:06:00.000 GMT+0200,3333.048,3333.348,3332.715,3333.248,12270
18.08.2025 01:07:00.000 GMT+0200,3333.348,3333.348,3332.948,3333.048,2130
18.08.2025 01:08:00.000 GMT+0200,3332.948,3332.948,3332.028,3332.298,14730
18.08.2025 01:09:00.000 GMT+0200,3332.298,3332.798,3332.298,3332.798,6490
18.08.2025 01:10:00.000 GMT+0200,3332.798,3333.165,3332.535,3332.755,10660
18.08.2025 01:11:00.000 GMT+0200,3332.755,3332.755,3332.345,3332.445,7770
18.08.2025 01:12:00.000 GMT+0200,3332.365,3332.445,3330.225,3330.485,20700
18.08.2025 01:13:00.000 GMT+0200,3330.505,3330.875,3329.915,3330.365,15360
18.08.2025 01:14:00.000 GMT+0200,3330.395,3330.505,3329.955,3330.115,10200
18.08.2025 01:15:00.000 GMT+0200,3330.315,3330.635,3329.925,3330.285,7980
18.08.2025 01:16:00.000 GMT+0200,3330.245,3330.245,3328.655,3328.885,17940
18.08.2025 01:17:00.000 GMT+0200,3328.855,3328.898,3323.735,3324.315,67600
18.08.2025 01:18:00.000 GMT+0200,3324.398,3325.535,3323.655,3325.475,28800
18.08.2025 01:19:00.000 GMT+0200,3325.455,3325.555,3323.985,3324.565,25140
18.08.2025 01:20:00.000 GMT+0200,3324.545,3324.905,3323.445,3324.235,23460
18.08.2025 01:21:00.000 GMT+0200,3324.255,3324.345,3323.335,3324.125,13050
18.08.2025 01:22:00.000 GMT+0200,3324.225,3325.515,3324.155,3325.315,14100
18.08.2025 01:23:00.000 GMT+0200,3325.515,3326.135,3325.415,3326.135,10440
18.08.2025 01:24:00.000 GMT+0200,3326.155,3326.235,3325.335,3325.355,11700
18.08.2025 01:25:00.000 GMT+0200,3325.375,3326.255,3325.195,3326.155,6480
18.08.2025 01:26:00.000 GMT+0200,3326.195,3326.465,3325.865,3326.165,9000
18.08.2025 01:27:00.000 GMT+0200,3326.198,3328.005,3326.198,3327.835,11640
18.08.2025 01:28:00.000 GMT+0200,3327.865,3329.155,3327.775,3328.975,9810
18.08.2025 01:29:00.000 GMT+0200,3328.998,3329.365,3328.695,3328.825,8190
18.08.2025 01:30:00.000 GMT+0200,3328.898,3329.198,3328.798,3329.198,6600
18.08.2025 01:31:00.000 GMT+0200,3329.165,3329.298,3327.998,3328.545,11970
18.08.2025 01:32:00.000 GMT+0200,3328.605,3328.625,3327.735,3327.755,10980
18.08.2025 01:33:00.000 GMT+0200,3327.725,3328.675,3327.725,3328.155,7890
18.08.2025 01:34:00.000 GMT+0200,3328.205,3328.305,3327.665,3328.205,5550
18.08.2025 01:35:00.000 GMT+0200,3328.298,3328.298,3327.798,3328.025,6420
18.08.2025 01:36:00.000 GMT+0200,3328.055,3328.215,3327.635,3328.215,2940
18.08.2025 01:37:00.000 GMT+0200,3328.198,3328.598,3328.005,3328.598,5940
18.08.2025 01:38:00.000 GMT+0200,3328.605,3328.725,3328.155,3328.225,4650
18.08.2025 01:39:00.000 GMT+0200,3328.115,3328.215,3327.815,3328.125,6420
18.08.2025 01:40:00.000 GMT+0200,3328.335,3328.415,3328.285,3328.305,3840
18.08.2025 01:41:00.000 GMT+0200,3328.335,3328.415,3328.125,3328.125,2100
18.08.2025 01:42:00.000 GMT+0200,3328.095,3328.535,3328.095,3328.355,5250
18.08.2025 01:43:00.000 GMT+0200,3328.395,3328.395,3328.155,3328.235,1680
18.08.2025 01:44:00.000 GMT+0200,3328.255,3328.355,3327.925,3327.995,3060
18.08.2025 01:45:00.000 GMT+0200,3327.985,3327.985,3327.355,3327.645,9000
18.08.2025 01:46:00.000 GMT+0200,3327.625,3327.915,3327.065,3327.375,10500
18.08.2025 01:47:00.000 GMT+0200,3327.445,3327.455,3327.065,3327.325,5190
18.08.2025 01:48:00.000 GMT+0200,3327.375,3327.455,3326.635,3326.865,9420
18.08.2025 01:49:00.000 GMT+0200,3326.905,3327.785,3326.905,3327.425,5580
18.08.2025 01:50:00.000 GMT+0200,3327.475,3327.475,3326.915,3326.975,5040
18.08.2025 01:51:00.000 GMT+0200,3327.005,3327.005,3326.225,3326.785,11250
18.08.2025 01:52:00.000 GMT+0200,3326.805,3327.435,3326.555,3327.195,10320
18.08.2025 01:53:00.000 GMT+0200,3327.235,3328.255,3327.205,3327.698,12090
18.08.2025 01:54:00.000 GMT+0200,3327.675,3327.998,3327.125,3327.698,5880
18.08.2025 01:55:00.000 GMT+0200,3327.685,3327.805,3326.998,3327.198,11730
18.08.2025 01:56:00.000 GMT+0200,3326.998,3327.045,3326.798,3326.855,7170
18.08.2025 01:57:00.000 GMT+0200,3326.835,3327.205,3325.525,3326.398,14430
18.08.2025 01:58:00.000 GMT+0200,3326.395,3326.395,3326.045,3326.065,6240
18.08.2025 01:59:00.000 GMT+0200,3326.085,3326.895,3326.085,3326.895,4980
18.08.2025 02:00:00.000 GMT+0200,3326.945,3328.245,3326.905,3328.245,18810
18.08.2025 02:01:00.000 GMT+0200,3328.275,3328.275,3326.625,3327.235,16740
18.08.2025 02:02:00.000 GMT+0200,3327.195,3328.535,3327.035,3328.465,13080
18.08.2025 02:03:00.000 GMT+0200,3328.495,3329.035,3328.425,3328.925,12420
18.08.2025 02:04:00.000 GMT+0200,3328.885,3328.935,3327.955,3328.545,11040
18.08.2025 02:05:00.000 GMT+0200,3328.585,3329.925,3328.205,3329.855,16020
18.08.2025 02:06:00.000 GMT+0200,3329.835,3330.855,3329.585,3330.395,17190
18.08.2025 02:07:00.000 GMT+0200,3330.375,3330.435,3330.035,3330.435,7320
18.08.2025 02:08:00.000 GMT+0200,3330.455,3331.075,3330.165,3331.045,17880
18.08.2025 02:09:00.000 GMT+0200,3331.045,3331.755,3330.815,3331.535,18090
18.08.2025 02:10:00.000 GMT+0200,3331.535,3332.245,3331.495,3331.785,18720
18.08.2025 02:11:00.000 GMT+0200,3331.765,3332.975,3331.745,3332.815,19560
18.08.2025 02:12:00.000 GMT+0200,3332.785,3334.125,3332.655,3333.385,19950
18.08.2025 02:13:00.000 GMT+0200,3333.435,3334.285,3332.955,3334.285,14100
18.08.2025 02:14:00.000 GMT+0200,3334.315,3334.875,3334.195,3334.655,14610
18.08.2025 02:15:00.000 GMT+0200,3334.695,3335.025,3333.965,3334.555,12900
18.08.2025 02:16:00.000 GMT+0200,3334.555,3335.705,3334.415,3335.075,22600
18.08.2025 02:17:00.000 GMT+0200,3335.125,3335.765,3334.905,3335.545,11250
18.08.2025 02:18:00.000 GMT+0200,3335.495,3336.325,3335.465,3335.645,24080
18.08.2025 02:19:00.000 GMT+0200,3335.725,3337.375,3335.615,3337.305,21240
18.08.2025 02:20:00.000 GMT+0200,3337.335,3339.615,3337.335,3338.535,63730
18.08.2025 02:21:00.000 GMT+0200,3338.495,3340.965,3338.315,3340.115,47920
18.08.2025 02:22:00.000 GMT+0200,3340.175,3342.045,3340.125,3341.505,27660
18.08.2025 02:23:00.000 GMT+0200,3341.525,3341.945,3340.695,3340.995,23580
18.08.2025 02:24:00.000 GMT+0200,3341.045,3341.635,3339.298,3339.345,31600
18.08.2025 02:25:00.000 GMT+0200,3339.339,3339.398,3337.375,3337.655,81970
18.08.2025 02:26:00.000 GMT+0200,3337.675,3339.635,3337.225,3338.855,26360
18.08.2025 02:27:00.000 GMT+0200,3338.875,3339.055,3337.895,3338.345,13680
18.08.2025 02:28:00.000 GMT+0200,3338.375,3340.148,3338.375,3339.595,19140
18.08.2025 02:29:00.000 GMT+0200,3339.555,3340.195,3339.415,3340.055,11490
18.08.2025 02:30:00.000 GMT+0200,3340.085,3340.325,3338.695,3339.135,20700
18.08.2025 02:31:00.000 GMT+0200,3339.155,3339.925,3339.075,3339.655,20040
18.08.2025 02:32:00.000 GMT+0200,3339.635,3340.615,3339.395,3340.405,19520
18.08.2025 02:33:00.000 GMT+0200,3340.315,3340.475,3339.135,3339.135,21310
18.08.2025 02:34:00.000 GMT+0200,3339.198,3340.315,3339.075,3340.115,13740
18.08.2025 02:35:00.000 GMT+0200,3339.895,3340.298,3339.155,3340.298,9720
18.08.2025 02:36:00.000 GMT+0200,3340.355,3340.425,3339.095,3339.345,14640
18.08.2025 02:37:00.000 GMT+0200,3339.315,3339.525,3338.985,3339.095,5250
18.08.2025 02:38:00.000 GMT+0200,3339.115,3340.048,3339.065,3339.925,7440
